section,metric,value
time_alignment,offset_est_s,-4.21
time_alignment,offset_err_ms,
time_alignment,xcorr_peak_normalized,0.9465003260527901
time_alignment,xcorr_psr,13.044564575440234
time_alignment,omega_rmse_before,0.26697903507940174
time_alignment,omega_rmse_after,0.07185570232238402
time_alignment,omega_rmse_improve_pct,73.0856386151278
step2_residuals,rot_res_mean_deg,0.09290452450224579
step2_residuals,rot_res_median_deg,0.011208475144296988
step2_residuals,rot_res_p95_deg,0.039136881694740215
step2_residuals,trans_eq_rmse_m,0.0001612567446335833
step2_residuals,trans_eq_p95_m,0.00024973779319094764
step2_residuals,translation_system_cond,1.8796175516632205
step2_residuals,translation_constraints,24182.0
trajectory,ate_rmse_raw_m,2.6410573793296823
trajectory,ate_rmse_step2_m,2.6721121670134242
trajectory,ate_rmse_step3_m,0.051961591469090136
trajectory,ate_p95_raw_m,2.889131399408301
trajectory,ate_p95_step2_m,2.9307385790402822
trajectory,ate_p95_step3_m,0.08208766678008692
trajectory,ate_rmse_improve_raw_to_step3_pct,98.03254590843994
trajectory,ate_rmse_improve_step2_to_step3_pct,98.05541129180413
sanity_check,extrinsic_rotation_error_deg,
sanity_check,extrinsic_translation_error_m,
sanity_check,world_rotation_error_deg,
sanity_check,world_translation_error_m,
estimated_params,offset_s,-4.21
