section,metric,value
time_alignment,offset_est_s,0.123
time_alignment,offset_err_ms,0.0
time_alignment,xcorr_peak_normalized,0.9985378085071166
time_alignment,xcorr_psr,13.44264268518305
time_alignment,omega_rmse_before,0.09518125853743349
time_alignment,omega_rmse_after,0.0017074218876962767
time_alignment,omega_rmse_improve_pct,98.20613646539792
step2_residuals,rot_res_mean_deg,1.4792057778471782e-14
step2_residuals,rot_res_median_deg,1.3958168896131287e-14
step2_residuals,rot_res_p95_deg,2.7053902947073946e-14
step2_residuals,trans_eq_rmse_m,3.604081265961529e-16
step2_residuals,trans_eq_p95_m,6.314777382508295e-16
step2_residuals,translation_system_cond,1.87961755166322
step2_residuals,translation_constraints,24182.0
trajectory,ate_rmse_raw_m,1.5147407976987484
trajectory,ate_rmse_step2_m,1.6261414750641916
trajectory,ate_rmse_step3_m,6.441270682070819e-15
trajectory,ate_p95_raw_m,2.36169009509753
trajectory,ate_p95_step2_m,2.4634997764901594
trajectory,ate_p95_step3_m,7.552781223416605e-15
trajectory,ate_rmse_improve_raw_to_step3_pct,99.99999999993355
trajectory,ate_rmse_improve_step2_to_step3_pct,99.99999999993811
sanity_check,extrinsic_rotation_error_deg,5.694131199389952e-14
sanity_check,extrinsic_translation_error_m,1.381171100883434e-15
sanity_check,world_rotation_error_deg,6.466062995755292e-15
sanity_check,world_translation_error_m,5.923068450301574e-15
estimated_params,offset_s,0.123
